tweet,class,,Index
I wish to kill you!!,1,,0 = hatefull
Wow! This place is soo beautiful.,2,,1 = offensive
He looks so handsome.,2,,2 = neutral
You are a foul bitch.,0,,
Yo! You can't do that to me nigga.,1,,
"What are you looking at, you little piece of shit.",0,,
Mind your tongue whore.,1,,
Such a cute puppy you have.,2,,
God bless your pure soul.,2,,
Are you serious about what you just said??,2,,
He is indeed the greatest of all time .,2,,
Mountains are equal to peace.,2,,
One of my favourites moments of this year.,2,,
Women like you are reason that we are blamed.,0,,
honey you shouldn't be talking like that.,2,,
"come on dude don't be like a pussy, just do it.",1,,
"You bitch go to hell, you mf.",1,,
I hate you more than anything in the world.,0,,
"What did your parents even thought you, huh?",0,,
You shameful bastard.,1,,
Never heard someone as stupid as you in my whole life.,0,,
This is the type of life I've always wanted to live.,2,,
What a wonderful news to start a day.,2,,
How can someone be so stupid,0,,
You are very much beauty.,2,,
You look more ugly than a PIG!!,0,,
You MF nigger how dare you do that to me.,1,,
Bitches like you can only lick asses of others .,1,,
How rude of you to speak to me in such a horrible way.,0,,
Never Talk to me ever again,0,,
I love you the most in this world.,2,,
"Cats are good but, dogs are the best.",2,,
You changed your colours towards me like a chameleon.,0,,
You know nothing about what I am talking about.,2,,
Your food tastes like total garbage.,0,,
I am so hungry that I could even eat a person as whole.,2,,
What did you just say????,2,,
WTF are talking about you bitch.,1,,
Why are you still alive bitch.,1,,
Bitches like you can never be a good wife.,1,,
"You guys should just stop now, he is about to cry, poor baby.",2,,
All you niggas do is get high & waste your own life .,1,,
This mary is literally a slut!,1,,
All of this is your fault.,0,,
I am feeling super sleepy.,2,,
People like you shouldn't even exist on this planet.,0,,
I do not want a black nigger like you anywhere near me,1,,
You are the worst,0,,
Pussies like you are afraid of taking any kind of risk,1,,
She looks super ugly,0,,
That man over there is a great dude,2,,
This is the best feeling I have felt in my life,2,,
This bitch is as tall as an ant,1,,
That women is a living legend ,2,,
Salute to these soldiers for what they have done for our country,2,,
Please don't talk in such a manner ,2,,
Do you have no shame while doing such horrible things,0,,
Bro you are so smart !!,2,,
"How can someone even solve a question like that, you are a total genius",2,,
You look mad ugly,0,,
What type of creature are you ?,0,,
Such a nice gentleman,2,,
God Bless these people,2,,
Humans are smart and intelligent creatures,2,,
Very cool hairstyle dude,2,,
Your parents would be ashamed of you right now,0,,
Today is one of the best day of my life,2,,
What a lovely whether,2,,
You are looking very pretty,2,,
You are horrible at soccer,0,,
No one is as bad as you in our team,0,,
If I had a gun I would have killed you by now,1,,
You should be dead,1,,
Your race don't deserve to be living in the same place as us,1,,
"I have seen a lot of people, but no one as beautiful as you",2,,
you are a waste of potential,0,,
A good pair of spectacles will make you handsome,2,,
"I love animals, they are so cute!",2,,
Mother nature is kind to all,2,,
You should not have been born ,1,,
why are you acting like a bitch,1,,
listen here you little shit this ain't a place for you,1,,
dear child be safe & don't get hurt,2,,
I would like to fire this gun on you & kill you,1,,
I would like to marry a beautiful girl like you,2,,
I am the genius at mathematics,2,,
Nigga you are darker than the night sky,1,,
Bitches like you are not accepted,1,,
Did someone ever told you how ugly you look,0,,
Your thoughts are bad as saitan,1,,
Hell is full of people like you,0,,
Even dogs are better than a guy like you,0,,
Your smile is very beautiful and lovely,2,,
You are fatter than a pig,0,,
Don't yell at me bitch,1,,
Your whole family should die ,1,,
You are a mad man,0,,
I have a fever due to last night party,2,,
Why are you so mad at me ,2,,
"You idiot, how can do such a thing",0,,
